"og_id"	"Acom"	"Tfas"	"Tlei"
"3847"	"OG0004337"	1	2	1
"3848"	"OG0004338"	1	2	1
"3849"	"OG0004339"	1	2	1
"3882"	"OG0004374"	1	2	1
"3892"	"OG0004384"	1	2	1
"3893"	"OG0004385"	1	2	1
"3908"	"OG0004404"	1	2	1
"3930"	"OG0004426"	1	2	1
"3931"	"OG0004427"	1	2	1
"3949"	"OG0004446"	1	8	1
"3955"	"OG0004454"	1	2	1
"3962"	"OG0004461"	1	2	1
"3964"	"OG0004463"	1	2	1
"3987"	"OG0004487"	1	2	1
"3988"	"OG0004488"	1	2	1
"4000"	"OG0004502"	1	2	1
