"chrom" "V2" "V3" "V4"
"388" "Scaffold_1383" "11000001" "1.2e+07" "4"
"389" "Scaffold_1383" "12000001" "1.3e+07" "5"
"390" "Scaffold_1383" "13000001" "1.4e+07" "7"
"391" "Scaffold_1383" "14000001" "1.5e+07" "1"
"392" "Scaffold_1383" "15000001" "1.6e+07" "6"
"393" "Scaffold_1383" "16000001" "1.7e+07" "1"
"394" "Scaffold_1383" "17000001" "1.8e+07" "5"
"395" "Scaffold_1383" "18000001" "1.9e+07" "1"
"396" "Scaffold_1383" "19000001" "2e+07" "6"
"397" "Scaffold_1383" "20000001" "2.1e+07" "7"
"398" "Scaffold_1383" "21000001" "2.2e+07" "11"
"399" "Scaffold_1383" "22000001" "2.3e+07" "12"
"400" "Scaffold_1383" "23000001" "2.4e+07" "21"
"401" "Scaffold_1383" "24000001" "2.5e+07" "29"
"402" "Scaffold_819" "1" "1e+06" "21"
"403" "Scaffold_819" "1000001" "2e+06" "14"
"404" "Scaffold_819" "2000001" "3e+06" "11"
"405" "Scaffold_819" "3000001" "4e+06" "15"
"406" "Scaffold_819" "4000001" "5e+06" "12"
"407" "Scaffold_819" "5000001" "6e+06" "2"
"408" "Scaffold_819" "6000001" "7e+06" "2"
"409" "Scaffold_819" "7000001" "8e+06" "7"
"410" "Scaffold_819" "8000001" "9e+06" "9"
"411" "Scaffold_819" "9000001" "1e+07" "5"
"412" "Scaffold_819" "10000001" "1.1e+07" "4"
"413" "Scaffold_819" "11000001" "1.2e+07" "9"
"414" "Scaffold_819" "12000001" "1.3e+07" "8"
"415" "Scaffold_819" "13000001" "1.4e+07" "3"
"416" "Scaffold_819" "14000001" "1.5e+07" "3"
"417" "Scaffold_819" "15000001" "1.6e+07" "5"
"418" "Scaffold_819" "16000001" "1.7e+07" "23"
"419" "Scaffold_819" "17000001" "1.8e+07" "7"
"420" "Scaffold_819" "18000001" "1.9e+07" "15"
"421" "Scaffold_819" "19000001" "2e+07" "20"
"422" "Scaffold_819" "20000001" "2.1e+07" "21"
"423" "Scaffold_819" "21000001" "2.2e+07" "30"
"424" "Scaffold_819" "22000001" "2.3e+07" "36"
"425" "Scaffold_819" "23000001" "2.4e+07" "18"
"426" "Scaffold_15" "1" "1e+06" "34"
"427" "Scaffold_15" "1000001" "2e+06" "15"
"428" "Scaffold_15" "2000001" "3e+06" "33"
"429" "Scaffold_15" "3000001" "4e+06" "24"
"430" "Scaffold_15" "4000001" "5e+06" "11"
"431" "Scaffold_15" "5000001" "6e+06" "5"
"432" "Scaffold_15" "6000001" "7e+06" "4"
"433" "Scaffold_15" "7000001" "8e+06" "4"
"434" "Scaffold_15" "8000001" "9e+06" "7"
"435" "Scaffold_15" "9000001" "1e+07" "5"
"436" "Scaffold_15" "10000001" "1.1e+07" "5"
"437" "Scaffold_15" "11000001" "1.2e+07" "6"
"438" "Scaffold_15" "12000001" "1.3e+07" "5"
"439" "Scaffold_15" "13000001" "1.4e+07" "4"
"440" "Scaffold_15" "14000001" "1.5e+07" "7"
"441" "Scaffold_15" "15000001" "1.6e+07" "3"
"442" "Scaffold_15" "16000001" "1.7e+07" "7"
"443" "Scaffold_15" "17000001" "1.8e+07" "3"
"444" "Scaffold_15" "18000001" "1.9e+07" "15"
"445" "Scaffold_15" "19000001" "2e+07" "17"
"446" "Scaffold_15" "20000001" "2.1e+07" "22"
"447" "Scaffold_15" "21000001" "2.2e+07" "33"
"448" "Scaffold_15" "22000001" "2.3e+07" "34"
"449" "Scaffold_15" "23000001" "2.4e+07" "19"
"450" "Scaffold_2073" "1" "1e+06" "3"
"451" "Scaffold_2073" "1000001" "2e+06" "2"
"452" "Scaffold_2073" "2000001" "3e+06" "5"
"453" "Scaffold_2073" "3000001" "4e+06" "5"
"454" "Scaffold_2073" "4000001" "5e+06" "6"
"455" "Scaffold_2073" "5000001" "6e+06" "2"
"456" "Scaffold_2073" "6000001" "7e+06" "7"
"457" "Scaffold_2073" "7000001" "8e+06" "6"
"458" "Scaffold_2073" "8000001" "9e+06" "6"
"459" "Scaffold_2073" "9000001" "1e+07" "17"
"460" "Scaffold_2073" "10000001" "1.1e+07" "18"
"461" "Scaffold_2073" "11000001" "1.2e+07" "2"
"462" "Scaffold_2073" "12000001" "1.3e+07" "5"
"463" "Scaffold_2073" "13000001" "1.4e+07" "8"
"464" "Scaffold_2073" "14000001" "1.5e+07" "12"
"465" "Scaffold_2073" "15000001" "1.6e+07" "1"
"466" "Scaffold_2073" "16000001" "1.7e+07" "10"
"467" "Scaffold_2073" "17000001" "1.8e+07" "24"
"468" "Scaffold_2073" "18000001" "1.9e+07" "19"
"469" "Scaffold_2073" "19000001" "2e+07" "36"
"470" "Scaffold_2073" "20000001" "2.1e+07" "22"
"471" "Scaffold_2073" "21000001" "2.2e+07" "10"
"472" "Scaffold_2321" "1" "1e+06" "31"
"473" "Scaffold_2321" "1000001" "2e+06" "23"
"474" "Scaffold_2321" "2000001" "3e+06" "21"
