"chrom" "V2" "V3" "counts"
"358" "Scaffold_2225" "6000001" "7e+06" "36"
"359" "Scaffold_2225" "7000001" "8e+06" "24"
"360" "Scaffold_2225" "8000001" "9e+06" "18"
"361" "Scaffold_2225" "9000001" "1e+07" "18"
"362" "Scaffold_2225" "10000001" "1.1e+07" "6"
"363" "Scaffold_2225" "11000001" "1.2e+07" "6"
"364" "Scaffold_2225" "12000001" "1.3e+07" "6"
"365" "Scaffold_2225" "13000001" "1.4e+07" "10"
"366" "Scaffold_2225" "14000001" "1.5e+07" "8"
"367" "Scaffold_2225" "15000001" "1.6e+07" "6"
"368" "Scaffold_2225" "16000001" "1.7e+07" "12"
"369" "Scaffold_2225" "17000001" "1.8e+07" "16"
"370" "Scaffold_2225" "18000001" "1.9e+07" "15"
"371" "Scaffold_2225" "19000001" "2e+07" "24"
"372" "Scaffold_2225" "20000001" "2.1e+07" "12"
"373" "Scaffold_2225" "21000001" "2.2e+07" "18"
"374" "Scaffold_2225" "22000001" "2.3e+07" "24"
"375" "Scaffold_2225" "23000001" "2.4e+07" "53"
"376" "Scaffold_2225" "24000001" "2.5e+07" "75"
"377" "Scaffold_1383" "1" "1e+06" "99"
"378" "Scaffold_1383" "1000001" "2e+06" "108"
"379" "Scaffold_1383" "2000001" "3e+06" "104"
"380" "Scaffold_1383" "3000001" "4e+06" "97"
"381" "Scaffold_1383" "4000001" "5e+06" "49"
"382" "Scaffold_1383" "5000001" "6e+06" "25"
"383" "Scaffold_1383" "6000001" "7e+06" "13"
"384" "Scaffold_1383" "7000001" "8e+06" "11"
"385" "Scaffold_1383" "8000001" "9e+06" "17"
"386" "Scaffold_1383" "9000001" "1e+07" "15"
"387" "Scaffold_1383" "10000001" "1.1e+07" "15"
"388" "Scaffold_1383" "11000001" "1.2e+07" "5"
"389" "Scaffold_1383" "12000001" "1.3e+07" "11"
"390" "Scaffold_1383" "13000001" "1.4e+07" "13"
"391" "Scaffold_1383" "14000001" "1.5e+07" "4"
"392" "Scaffold_1383" "15000001" "1.6e+07" "12"
"393" "Scaffold_1383" "16000001" "1.7e+07" "3"
"394" "Scaffold_1383" "17000001" "1.8e+07" "9"
"395" "Scaffold_1383" "18000001" "1.9e+07" "7"
"396" "Scaffold_1383" "19000001" "2e+07" "9"
"397" "Scaffold_1383" "20000001" "2.1e+07" "15"
"398" "Scaffold_1383" "21000001" "2.2e+07" "17"
"399" "Scaffold_1383" "22000001" "2.3e+07" "19"
"400" "Scaffold_1383" "23000001" "2.4e+07" "41"
"401" "Scaffold_1383" "24000001" "2.5e+07" "32"
"402" "Scaffold_819" "1" "1e+06" "87"
"403" "Scaffold_819" "1000001" "2e+06" "42"
"404" "Scaffold_819" "2000001" "3e+06" "23"
"405" "Scaffold_819" "3000001" "4e+06" "27"
"406" "Scaffold_819" "4000001" "5e+06" "23"
"407" "Scaffold_819" "5000001" "6e+06" "6"
