"chrom" "V2" "V3" "counts"
"235" "Scaffold_10302" "3000001" "4e+06" "81"
"236" "Scaffold_10302" "4000001" "5e+06" "58"
"237" "Scaffold_10302" "5000001" "6e+06" "39"
"238" "Scaffold_10302" "6000001" "7e+06" "36"
"239" "Scaffold_10302" "7000001" "8e+06" "21"
"240" "Scaffold_10302" "8000001" "9e+06" "10"
"241" "Scaffold_10302" "9000001" "1e+07" "9"
"242" "Scaffold_10302" "10000001" "1.1e+07" "10"
"243" "Scaffold_10302" "11000001" "1.2e+07" "20"
"244" "Scaffold_10302" "12000001" "1.3e+07" "25"
"245" "Scaffold_10302" "13000001" "1.4e+07" "20"
"246" "Scaffold_10302" "14000001" "1.5e+07" "16"
"247" "Scaffold_10302" "15000001" "1.6e+07" "19"
"248" "Scaffold_10302" "16000001" "1.7e+07" "17"
"249" "Scaffold_10302" "17000001" "1.8e+07" "10"
"250" "Scaffold_10302" "18000001" "1.9e+07" "13"
"251" "Scaffold_10302" "19000001" "2e+07" "14"
"252" "Scaffold_10302" "20000001" "2.1e+07" "20"
"253" "Scaffold_10302" "21000001" "2.2e+07" "15"
"254" "Scaffold_10302" "22000001" "2.3e+07" "12"
"255" "Scaffold_10302" "23000001" "2.4e+07" "11"
"256" "Scaffold_10302" "24000001" "2.5e+07" "5"
"257" "Scaffold_10302" "25000001" "2.6e+07" "9"
"258" "Scaffold_10302" "26000001" "2.7e+07" "8"
"259" "Scaffold_10302" "27000001" "2.8e+07" "8"
"260" "Scaffold_10302" "28000001" "2.9e+07" "12"
"261" "Scaffold_10302" "29000001" "3e+07" "7"
"262" "Scaffold_10302" "30000001" "3.1e+07" "13"
"263" "Scaffold_10302" "31000001" "3.2e+07" "7"
"264" "Scaffold_10302" "32000001" "3.3e+07" "8"
"265" "Scaffold_10302" "33000001" "3.4e+07" "4"
"266" "Scaffold_10302" "34000001" "3.5e+07" "9"
"267" "Scaffold_10302" "35000001" "3.6e+07" "49"
"268" "Scaffold_10302" "36000001" "3.7e+07" "8"
"269" "Scaffold_10302" "37000001" "3.8e+07" "11"
"270" "Scaffold_10302" "38000001" "3.9e+07" "11"
"271" "Scaffold_10302" "39000001" "4e+07" "11"
"272" "Scaffold_10302" "40000001" "4.1e+07" "5"
"273" "Scaffold_10302" "41000001" "4.2e+07" "13"
"274" "Scaffold_10302" "42000001" "4.3e+07" "14"
"275" "Scaffold_10302" "43000001" "4.4e+07" "11"
"276" "Scaffold_10302" "44000001" "4.5e+07" "12"
"277" "Scaffold_10302" "45000001" "4.6e+07" "9"
"278" "Scaffold_10302" "46000001" "4.7e+07" "9"
"279" "Scaffold_10302" "47000001" "4.8e+07" "5"
"280" "Scaffold_10302" "48000001" "4.9e+07" "10"
"281" "Scaffold_10302" "49000001" "5e+07" "23"
"282" "Scaffold_10302" "50000001" "5.1e+07" "10"
"283" "Scaffold_10302" "51000001" "5.2e+07" "31"
"284" "Scaffold_10302" "52000001" "5.3e+07" "57"
"285" "Scaffold_10302" "53000001" "5.4e+07" "63"
"286" "Scaffold_10302" "54000001" "5.5e+07" "73"
"287" "Scaffold_10429" "1" "1e+06" "79"
"288" "Scaffold_10429" "1000001" "2e+06" "110"
"289" "Scaffold_10429" "2000001" "3e+06" "108"
"290" "Scaffold_10429" "3000001" "4e+06" "95"
"291" "Scaffold_10429" "4000001" "5e+06" "110"
"292" "Scaffold_10429" "5000001" "6e+06" "47"
"293" "Scaffold_10429" "6000001" "7e+06" "34"
"294" "Scaffold_10429" "7000001" "8e+06" "28"
"295" "Scaffold_10429" "8000001" "9e+06" "23"
"296" "Scaffold_10429" "9000001" "1e+07" "15"
"297" "Scaffold_10429" "10000001" "1.1e+07" "10"
"298" "Scaffold_10429" "11000001" "1.2e+07" "15"
"299" "Scaffold_10429" "12000001" "1.3e+07" "17"
"300" "Scaffold_10429" "13000001" "1.4e+07" "10"
"301" "Scaffold_10429" "14000001" "1.5e+07" "12"
"302" "Scaffold_10429" "15000001" "1.6e+07" "11"
"303" "Scaffold_10429" "16000001" "1.7e+07" "9"
"304" "Scaffold_10429" "17000001" "1.8e+07" "12"
"305" "Scaffold_10429" "18000001" "1.9e+07" "12"
